district,end_date,issued_on,permittee_name,permit_no,address,lat,lng,start_date
District Territory-wide issues,30/09/2013,08/03/2013,Chiu Hing Construction & Transportation Company Limited,GW-RA0018-13,"ROUTE 9 (TUEN MUN ROAD CH67.1 TO FANLING HIGHWAY CH31.5), ROUTE 5 (KWAI CHUNG ROAD CH12.43 TO TSUEN WAN ROAD CH17.9), ROUTE 3 (WEST KOWLOON HIGHWAY CH3.8-CH7.08), ROUTE 2 (KWUN TONG BYPASS CH39.00 - CH90.00), ROUTE 8 (NORTH LANTAU HIGHWAY CH0.0 - CH10.9 AND PENNY'S BAY HIGHWAY), ROUTE 10 (KONG SHAM WESTERN HIGHWAY AND SHENZHEN BAY NT",-1,-1,01/04/2013
District Territory-wide issues,18/09/2013,07/03/2013,Sun Fook Kong (Civil) Limited,GW-RA0019-13,All streets in Kowloon and New Territories South (Road Maintenance Works) [Highways Department Contract No.: 07/HY/2008],-1,-1,19/03/2013
District Territory-wide issues,03/10/2013,15/03/2013,CLP Power Hong Kong Limited,GW-RA0020-13,"KOWLOON, NEW TERRITORIES, LANTAU, PENG CHAU AND CHEUNG CHAU (ELECTRICAL SUBSTATION MAINTENANCE WORKS) HK",22.396428,114.109497,04/04/2013
District Territory-wide issues,30/09/2013,27/03/2013,Welcome Construction Company Limited,GW-RA0021-13,All streets in Hong Kong Island and Islands Districts (Manhole Name Plates Installation Works) [DSD Contract No.: DC/2009/04],22.2478599,114.2033843,01/04/2013
District Territory-wide issues,16/10/2013,28/03/2013,MTR Corporation Limited,GW-RA0022-13,MTR-AIRPORT EXPRESS AND TUNG CHUNG LINES [LAI KING VIADUCT (NEAR TAT YEUNG ROAD) TO NORTH OF OLYMPIC STATION (NEAR HOI FAI ROAD ROUNDABOUT)] NT,-1,-1,17/04/2013
District Territory-wide issues,16/10/2013,28/03/2013,MTR Corporation Limited,GW-RA0023-13,"MTR - AIRPORT EXPRESS AND TUNG CHUNG LINES,[EAST LANTAU PORTAL TO HONG KONG STATION, EXCLUDING THE SECTIONS FROM THE EASTERN END OF TSING LAI BRIDGE TO LAI KING VIADUCT(NEAR JUNCTION OF KWAI WO STREET & TSING KWAI HIGHWAY), AND FROM LAI KING VIADUCT(NEAR JUNCTION OF KWAI WO STREET & TSING KWAI HIGHWAY), & FROM LAI KING VIADUCT (NEA",-1,-1,17/04/2013
District Territory-wide issues,16/10/2013,28/03/2013,MTR Corporation Limited,GW-RA0024-13,MTR - AIRPORT EXPRESS & TUNG CHUNG LINES [TUNG CHUNG TRACTION SUBSTATION TO AIRPORT SERVICING PLATFORM/ASIA WORLD EXPO STATION & TUNG CHUNG STATION] NT,-1,-1,17/04/2013
District Territory-wide issues,16/10/2013,28/03/2013,MTR Corporation Limited,GW-RA0025-13,MTR-AIRPORT EXPRESS AND TUNG CHUNG LINES [EASTERN END OF TSING LAI BRIDGE TO LAI KING VIADUCT (NEAR JUNCTION OF KWAI WO STREET AND TSING KWAI HIGHWAY)] NT,-1,-1,17/04/2013
District Territory-wide issues,16/10/2013,28/03/2013,MTR CORPORATION LIMITED,GW-RA0026-13,"MTR-AIRPORT EXPRESS AND TUNG CHUNG LINES (EAST LANTAU PORTAL TO TUNG CHUNG TRACTION SUBSTATION, INCLUDUNG SIU HO WAN DEPOT); DISNEYLAND RESORT LINE (DISNEYLAND STATION TO SUNNY BAY STATION). NT",-1,-1,17/04/2013
District Territory-wide issues,14/10/2013,26/03/2013,Drainage Services Department,GW-RA0027-13,"ALL STREETS ON HONG KONG ISLAND, KOWLOON PENINSULA, NEW TERRITORIES AND THE OUTLYING ISLANDS (DRAINAGE CLEANSING WORKS) HK",22.396428,114.109497,15/04/2013
District Territory-wide issues,30/09/2013,27/03/2013,Welcome Construction Company Limited,GW-RA0028-13,"All streets in Hong Kong Island, Lantau Island and Ma Wan (Drainage CCTV Survey Works) [DSD Contract No.: DC/2009/04]",22.2664984,113.941751,01/04/2013
District Territory-wide issues,30/09/2013,27/03/2013,Welcome Construction Company Limited,GW-RA0029-13,"All streets in Hong Kong Island, Lantau Island and Ma Wan (Drainage Cleansing Works) [DSD Contract No.: DC/2009/04]",22.2664984,113.941751,01/04/2013
District Territory-wide issues,05/10/2013,27/03/2013,"Welcome Construction Co., Ltd.",GW-RA0030-13,"All streets in Hong Kong Island, Lantau Island and Ma Wan (Drainage Maintenance Works) [DSD Contract No.: DC/2009/04]",22.2664984,113.941751,06/04/2013
District Territory-wide issues,30/09/2013,11/04/2013,Gammon - Welcome Joint Venture,GW-RA0036-13,"Route 1 (Lion Rock Tunnel Road CH14.96 to Sha Tin Road CH20.70), Route 2 (Tate’s Cairn Highway Ch14.40 to Ch18.90), Route 4 (Island Eastern Corridor Ch0.00 to Ch8.60), Route 8 (Tsing Sha Highway Ch31.50 to Ch33.20), Route 9 (Shing Mun Tunnel Road CH3.05 to Fanling Highway CH30.30), Sha Lek Highway, Ma On Shan Road, Ma On Shan Bypass, Yuen Shin Road and Tai Po Tai Wo Road both bounds full width including all slip roads [Road Maintenance Works] [Contract No. 05/HY/2012]",-1,-1,01/04/2013
District Territory-wide issues,30/09/2013,11/04/2013,Gammon - Welcome Joint Venture,GW-RA0037-13,"Route 1 (Lion Rock Tunnel Road CH14.96 to Sha Tin Road CH20.70), Route 2 (Tate’s Cairn Highway Ch14.40 to Ch18.90), Route 4 (Island Eastern Corridor Ch0.00 to Ch8.60), Route 8 (Tsing Sha Highway Ch31.50 to Ch33.20), Route 9 (Shing Mun Tunnel Road CH3.05 to Fanling Highway CH30.30), Sha Lek Highway, Ma On Shan Road, Ma On Shan Bypass, Yuen Shin Road and Tai Po Tai Wo Road both bounds full width including all slip roads [Road Maintenance Works] [Contract No. 05/HY/2012]",-1,-1,01/04/2013
District Territory-wide issues,30/09/2013,11/04/2013,Gammon - Welcome Joint Venture,GW-RA0038-13,Tunnel tubes within Lion Rock Tunnel and Shing Mun Tunnel [Highways Department Contract No.: 05/HY/2012],-1,-1,01/04/2013
District Territory-wide issues,15/10/2013,15/04/2013,MTR Corporation Limited,GW-RA0039-13,"MTR stations of Island Line (Sheung Wan Station to Shau Kei Wan Station), Tsuen Wan Line (Tsuen Wan Station to Central Station), Kwun Tong Line (Yau Ma Tei Station to Tiu Keng Leng Station), Tseung Kwan O Line (Yau Tong Station to Po Lam Station & LOHAS Park Station), Tung Chung Line (Hong Kong Station to Tsing Yi Station & Tung Chung Station) and Airport Express (Hong Kong Station to AsiaWorld-Expo Station)",-1,-1,16/04/2013
District Territory-wide issues,15/10/2013,15/04/2013,MTR Corporation Limited,GW-RA0040-13,"MTR stations of East Rail Line (Hung Hom Station to Sha Tin Station, Tai Wo Station, Lo Wu Station & Lok Ma Chau Station)",-1,-1,16/04/2013
District Territory-wide issues,15/10/2013,15/04/2013,MTR Corporation Limited,GW-RA0041-13,MTR stations of West Rail Line (Hung Hom Station to Tuen Mun Station),-1,-1,16/04/2013
District Territory-wide issues,21/10/2013,10/04/2013,Mak Hang Kei ( Hong Kong ) Construction Limited,GW-RA0042-13,New Territories East and Kowloon (Public Lighting System Maintenance Works) [Highways Department Contract No.: 01/HY/2010],-1,-1,22/04/2013
District Territory-wide issues,26/10/2013,09/04/2013,China Road and  Bridge Corporation,GW-RA0043-13,"All streets in Sha Tin, Sai Kung, Tseung Kwan O & Islands Districts (excluding high speed road) [Road marking and patching up pot holes works] [Highways Department Contract No.: 07/HY/2011]",-1,-1,27/04/2013
District Territory-wide issues,26/10/2013,09/04/2013,China Road and Bridge Corporation,GW-RA0044-13,"All streets in Sha Tin, Sai Kung, Tseung Kwan O & Islands Districts (excluding high speed road) [Road & Drainage Cleansing and Maintenance Works] [Highways Department Contract No.: 07/HY/2011]",-1,-1,27/04/2013
District Territory-wide issues,01/11/2013,17/04/2013,CRBC - WCCL JV,GW-RA0045-13,"All roads in Kowloon West (Lai Chi Kok, Sham Shui Po, Mong Kok, Yau Ma Tei and Tsim Sha Tsui including Cross Harbour Tunnel) excluding high speed roads  (Drainage Maintenance Works, Drainage Cleansing Works & Road Marking Works) [Highways Department Contract No.: 13/HY/2009]",-1,-1,02/05/2013
District Territory-wide issues,01/11/2013,17/04/2013,CRBC - WCCL JV,GW-RA0046-13,"All roads in Kowloon West (Lai Chi Kok, Sham Shui Po, Mong Kok, Yau Ma Tei and Tsim Sha Tsui including Cross Harbour Tunnel) excluding high speed roads [Highways Department Contract No.: 13/HY/2009]",-1,-1,02/05/2013
District Territory-wide issues,01/11/2013,17/04/2013,CRBC – WCCLJV,GW-RA0047-13,"All roads in Kowloon West (Lai Chi Kok, Sham Shui Po, Mong Kok, Yau Ma Tei and Tsim Sha Tsui including Cross Harbour Tunnel) excluding high speed roads [Highways Department Contract No.: 13/HY/2009]",-1,-1,02/05/2013
District Territory-wide issues,12/11/2013,03/05/2013,MTR Corporation Limited,GW-RA0048-13,"MTR East Rail Line from Hung Hom Station to Lo Wu Station & Lok Ma Chau Station (including MTR Ho Tung Lau Depot, Sub-depots, Freight Terminals and Marshalling Yards)",-1,-1,13/05/2013
District Territory-wide issues,03/11/2013,03/05/2013,MTR Corporation Limited,GW-RA0049-13,"MTR station platforms of Island Line (Sheung Wan Station to Chai Wan Station), Tsuen Wan Line (Tsim Sha Tsui Station to Tsuen Wan Station), Kwun Tong Line (Shek Kip Mei Station to Lam Tin Station), Tseung Kwan O Line (Yau Tong Station to Po Lam Station and LOHAS Park Station), Lantau Airport Express (Hong Kong Station to Tung Chung Station, Airport Station and AsiaWorld Expo Station) and Disneyland Resort Line (Sunny Bay Station to Disneyland Station)",-1,-1,04/05/2013
District Territory-wide issues,03/11/2013,03/05/2013,MTR Corporation Limited,GW-RA0050-13,MTR station platforms of East Rail Line (Hung Hom Station to Lo Wu Station & Lok Ma Chau Station),-1,-1,04/05/2013
District Territory-wide issues,03/11/2013,03/05/2013,MTR Corporation Limited,GW-RA0051-13,MTR station platforms of West Rail Line (Hung Hom Station to Tuen Mun Station),-1,-1,04/05/2013
District Territory-wide issues,05/11/2013,02/05/2013,CLP  ENGINEERING LIMITED,GW-RA0052-13,"Kwai Chung, Tsuen Wan, Tuen Mun, Yuen Long, San Tin, Sheung Shui, Fanling, Kam Tin, Tsing Yi, Lantau Island (Public Lighting System Maintenance Works) [Highways Department Contract No.: 01/HY/2011]",-1,-1,06/05/2013
District Territory-wide issues,09/11/2013,08/05/2013,Chiu Hing Construction & Transportation Company Limited,GW-RA0053-13,"ROUTE 9 (TUEN MUN ROAD CH67.1 TO FANLING HIGHWAY CH31.5), ROUTE 5 (KWAI CHUNG ROAD CH12.43 TO TSUEN WAN ROAD CH17.9), ROUTE 3 (WEST KOWLOON HIGHWAY CH3.8-CH7.08), ROUTE 2 (KWUN TONG BYPASS CH39.00 - CH90.00), ROUTE 8 (NORTH LANTAU HIGHWAY CH0.0 - CH10.9 AND PENNY'S BAY HIGHWAY), ROUTE 10 (KONG SHAM WESTERN HIGHWAY AND SHENZHEN BAY NT",-1,-1,10/05/2013
District Territory-wide issues,22/11/2013,08/05/2013,Yau Nam Kee Construction Company Limited,GW-RA0054-13,"ALL STREETS IN HONG KONG ISLAND, KOWLOON, NEW TERRITORIES AND OUTLYING ISLANDS (PCCW OUTDOOR PLANT CONSTRUCTION / MAINTENANCE WORKS) HK",22.2478599,114.2033843,23/05/2013
District Territory-wide issues,22/05/2013,21/11/2012,Yau Nam Kee Construction Company Limited,GW-RA0110-12,"ALL STREETS IN HONG KONG ISLAND, KOWLOON, NEW TERRITORIES AND OUTLYING ISLANDS (PCCW OUTDOOR PLANT CONSTRUCTION / MAINTENANCE WORKS) HK",22.2478599,114.2033843,23/11/2012
District Territory-wide issues,25/05/2013,21/11/2012,Excel Engineering Company Limited,GW-RA0111-12,"All streets in Hong Kong Island, Kowloon, New Territories and Outlying Islands (PCCW Outdoor Plant Construction / Maintenance Works)",22.2478599,114.2033843,26/11/2012
District Territory-wide issues,12/06/2013,22/11/2012,Master Kam Network & Engineering Limited,GW-RA0112-12,"All streets in Hong Kong Island, Kowloon, New Territories and Outlying Islands (PCCW Outdoor Plant Construction / Maintenance Works)",22.2478599,114.2033843,13/12/2012
District Territory-wide issues,12/06/2013,04/12/2012,Gammon Construction Limited,GW-RA0113-12,ALL HIGH SPEED ROADS IN NEW TERRITORIES EAST AND HONG KONG ISLAND (HIGH SPEED ROADS MAINTENANCE WORKS) [HIGHWAYS DEPARTMENT CONTRACT NO.: 20/HY/2004] KLN,-1,-1,13/12/2012
District Territory-wide issues,12/06/2013,04/12/2012,Gammon Construction Limited,GW-RA0114-12,All high speed roads in New Territories East and Hong Kong Island (Road drainage system maintenance works) [Highways Department Contract No.: 20/HY/2004],-1,-1,13/12/2012
District Territory-wide issues,12/06/2013,04/12/2012,Gammon Construction Ltd.,GW-RA0115-12,ALL HIGH SPEED ROADS IN NEW TERRITORIES EAST AND HONG KONG ISLAND (HIGH SPEED ROADS MAINTENANCE WORKS) [HIGHWAYS DEPARTMENT CONTRACT NO.: 20/HY/2004] KLN,-1,-1,13/12/2012
District Territory-wide issues,12/06/2013,04/12/2012,Gammon Construction Limited,GW-RA0116-12,ALL HIGH SPEED ROADS IN NEW TERRITORIES EAST AND HONG KONG ISLAND (HIGH SPEED ROADS MAINTENANCE WORKS) [HIGHWAYS DEPARTMENT CONTRACT NO.: 20/HY/2004] HK,-1,-1,13/12/2012
District Territory-wide issues,12/06/2013,04/12/2012,Gammon Construction Limited,GW-RA0117-12,ALL HIGH SPEED ROADS IN NEW TERRITORIES EAST AND HONG KONG ISLAND (HIGH SPEED ROADS MAINTENANCE WORKS) [HIGHWAYS DEPARTMENT CONTRACT NO.: 20/HY/2004] HK,-1,-1,13/12/2012
District Territory-wide issues,12/06/2013,04/12/2012,Gammon Construction Limited,GW-RA0118-12,TUNNEL TUBES WITHIN LION ROCK TUNNEL AND SHING MUN TUNNEL [HIGHWAYS DEPARTMENT CONTRACT NO.: 20/HY/2004] NT,-1,-1,13/12/2012
District Territory-wide issues,30/06/2013,13/12/2012,CLP Power Hong Kong Limited,GW-RA0119-12,"KOWLOON, NEW TERRITORIES, LANTAU ISLAND, PENG CHAU AND CHEUNG CHAU (TRANSMISSION CABLE JOINTING WORK) HK",22.396428,114.109497,01/01/2013
District Territory-wide issues,23/06/2013,13/12/2012,CLP Power Hong Kong Limited,GW-RA0120-12,"KOWLOON, NEW TERRITORIES, LANTAU, CHEUNG CHAU AND PENG CHAU (FOR DISTRIBUTION CABLE JOINTING WORK) NT",-1,-1,24/12/2012
District Territory-wide issues,26/07/2013,24/12/2012,Laing O'Rourke (Hong Kong) Limited,GW-RA0121-12,MTR - TSEUNG KWAN O LINE (NORTH POINT TO PO LAM) AND TSEUNG KWAN O STATION TO TSEUNG KWAN O DEPOT (INCLUDING DEPOT); KWUN TONG LINE (LAM TIN TO TIU KENG LENG) AND THE LAM TIN SERVICE CONNECTION FROM LAM TIN STATION TO CHA KWO LING VENTILATION BUILDING KLN,-1,-1,27/01/2013
District Territory-wide issues,05/07/2013,02/01/2013,Chiu Hing Construction & Transportation Co. Ltd.,GW-RA0122-12,"ROUTE 9 (YUEN LONG HIGHWAY CH46.1 - CH39.9), ROUTE 10 (KONG SHAM WESTERN HIGHWAY AND SHENZHEN BAY BRIDGE CH0.0 - CH10.0) BOTH BOUNDS FULL WIDTH INCLUDING ALL SLIP ROADS [ROAD MAINTENANCE WORKS] [HIGHWAYS DEPARTMENT CONTRACT NO.: 11/HY/2007] NT",-1,-1,06/01/2013
KWUN TONG,27/06/2013,04/01/2013,CHATWIN ENGINEERING LTD.,GW-RE0003-13,"Concourse of Kowloon Bay Station, Kowloon Bay, Kowloon",-1,-1,08/01/2013
YAU TSIM MONG,31/08/2013,07/01/2013,Dragages – Bouygues Joint Venture,GW-RE0009-13,"Underground Tunnel at the junction of Hoi Wang Road and Hoi Ting Road, Mongkok, Kowloon (MTRC Express Rail Link Contract No.: 820)",-1,-1,01/03/2013
KWUN TONG,27/06/2013,04/01/2013,China State Construction Engineering (Hong Kong) Limited,GW-RE0014-13,Site for Development of Anderson Road Site Formation and Associated Infrastructure Works (CEDD Contract No.CV/2007/03).,-1,-1,07/01/2013
KOWLOON CITY,29/07/2013,10/01/2013,HONG KONG DISTRICT COOLING DHY JOINT VENTURE,GW-RE0018-13,"Design-Build-Operate a District Cooling System (PhaseII Works) at Kai Tak Development (Southern site),Kai Tak, Kowloon",22.318056,114.2,29/01/2013
YAU TSIM MONG,13/07/2013,11/01/2013,BACHY SOLETANCHE - LAING O'ROURKE JOINT VENTURE,GW-RE0026-13,"West Kowloon Terminus Approach Tunnel (North), Kowloon (MTRC Express Rail Link Contract No. 811A)",-1,-1,14/01/2013
KOWLOON CITY,31/05/2013,16/01/2013,Nishimatsu Construction Co. Ltd.,GW-RE0030-13,"Essential Public Infrastructure Works at Winslow Street, Hung Hom, Kowloon (MTR Contract No. 1001).",-1,-1,18/01/2013
SAI KUNG,20/07/2013,18/01/2013,China Harbour Engineering Co Ltd,GW-RE0043-13,"T.K.O.T.L. 39 S.Q. ss1, ss2 and ext. thereto, Chun Wang Street, Tseung Kwan O Industrial Estate, Tseung Kwan O, N.T.",-1,-1,21/01/2013
KWUN TONG,01/07/2013,15/01/2013,Wing Sum Construction & Engineering Co Ltd,GW-RE0044-13,"N.K.I.L. 5881, No. 6 Wang Kwong Road, Kowloon Bay, Kowloon.",22.3217636,114.2063419,16/01/2013
KWUN TONG,31/07/2013,18/01/2013,HONG KONG - CHINA CONCRETE COMPANY LIMITED,GW-RE0059-13,"YTML #60-61, 20 Tung Yuen Street, Yau Tong, Kowloon",22.2922454,114.2356267,01/02/2013
KOWLOON CITY,04/08/2013,22/01/2013,Penta-Ocean Construction Co. Ltd.,GW-RE0061-13,"Site Formation for Kai Tak Cruise Terminal Development, Kowloon(CEDD contract no. KL/2009/01).",-1,-1,05/02/2013
SAI KUNG,14/08/2013,23/01/2013,Paul Y. Construction Co. Ltd.,GW-RE0067-13,"all streets in Mong Kok District, Wong Tai Sin District, Kwun Tong District, Sai Kung District, Kowloon City District, Yau Tsim District and Tseung Kwan O (DSD Contract No. DC/2011/01).",-1,-1,15/02/2013
KWUN TONG,11/08/2013,25/01/2013,Sun Fook Kong (Civil) Ltd,GW-RE0076-13,"ALL MAJOR ROADS IN KOWLOON EAST & INDUSTRIAL AREAS IN SAN PO KONG, KWUN TONG & YAU TONG KLN",-1,-1,12/02/2013
KOWLOON CITY,11/08/2013,25/01/2013,SUN FOOK KONG (CIVIL) LIMITED,GW-RE0077-13,"ALL MAJOR ROADS IN KOWLOON TONG, KOWLOON CITY & HUNG HOM KLN (HyD Contract No. 07/HY/2008)",-1,-1,12/02/2013
SAI KUNG,31/07/2013,23/01/2013,HIP Seng Construction Co Ltd,GW-RE0078-13,"DD227 & DD229, Tai Po Tsai, Sai Kung, NT",-1,-1,01/02/2013
KOWLOON CITY,15/08/2013,22/01/2013,PENTA OCEAN- CONSTRUCTION CO. LTD,GW-RE0079-13,"Site Formation for Kai Tak Cruise Terminal Development, Kowloon (CEDD Contract No. KL/2009/01)",-1,-1,16/02/2013
WONG TAI SIN,24/07/2013,28/01/2013,LEADER - SUNNIC J/V,GW-RE0084-13,"Kai Tak River between Tung Kwong Road and Kai Tak Garden, Wong Tai Sin, Kowloon. (DSD Contract No. DC/2011/04)",-1,-1,30/01/2013
KWUN TONG,26/05/2013,28/01/2013,MING HING WATERWORKS ENGINEERING CO LTD,GW-RE0094-13,"Wai Yip Street between Kei Yip Street and Hoi Yuen Road, Kwun Tong, Kowloon (WSD Contract No. 7/WSD/08).",-1,-1,27/01/2013
KOWLOON CITY,08/08/2013,28/01/2013,CHUN WO - HIP HING JOINT VENTURE,GW-RE0100-13,"Wan Hoi Street near Tak On Street, Hung Hom, Kowloon (MTR Contract No. 1002).",-1,-1,09/02/2013
SAI KUNG,12/08/2013,30/01/2013,Hip Hing Construction Co. Ltd.,GW-RE0104-13,"T.K.O.T.L. 39 and ext. thereto S.Q. s.s.5, Chun Yat Street, Tseung Kwan O Area 87, Tseung Kwan O Industrial Estate, Tseung Kwan O, N.T.",-1,-1,13/02/2013
KOWLOON CITY,03/08/2013,05/02/2013,SAMSUNG - Hsin Chong JV,GW-RE0116-13,"Sung Wong Toi and To Kwa Wan Stations and Tunnels, Kai Tak, Kowloon (MTR Contract No. 1109).",-1,-1,07/02/2013
WONG TAI SIN,13/08/2013,01/02/2013,Vinci Construction Grands Projets,GW-RE0118-13,"Diamond Hill Construction Site near Lung Poon Court, Kowloon (MTR Contract No. : 1103)",-1,-1,14/02/2013
SAI KUNG,24/08/2013,04/02/2013,Kum Shing (K F) Construction Company Limited,GW-RE0122-13,"Po Lam Road North junction of Po Fung Road, Tseung Kwan O, New Territories ( CLP Contract No. OA4610000818).",-1,-1,25/02/2013
KOWLOON CITY,30/06/2013,06/02/2013,SIEMENS LIMITED,GW-RE0127-13,"Electrical Substation, Gemstar Tower, 23A Man Lok Street, Hung Hom, Kowloon",22.3076299,114.1870366,03/03/2013
KWUN TONG,27/08/2013,08/02/2013,Cheung Kee Fung Cheung Construction Company Limited,GW-RE0136-13,"KTIL 195 RP, World Tech Centre, 95 How Ming Street, Kwun Tong, Kowloon.",22.312867,114.22263,28/02/2013
KOWLOON CITY,24/07/2013,07/02/2013,PEAKO ENGINEERING CO. LIMITED,GW-RE0137-13,"construction site of Kai Tak Development north apron area of Kai Tak Airport  near Eastern Road, Box Culvert & Sewage Pumping Station No. PS1A, Kowloon (CEDD Contract No. KL/2010/03).",-1,-1,08/02/2013
KOWLOON CITY,03/06/2013,07/02/2013,SIEMENS LIMITED,GW-RE0141-13,"Heng Ngai Jewelry Centre, 4 Hok Yuen Street East, Hung Hom, Kowloon",22.310317,114.190864,24/03/2013
KOWLOON CITY,13/09/2013,07/02/2013,PENTA-OCEAN CONSTRUCTION CO. LIMITED,GW-RE0144-13,"Site Formation for Kai Tak Cruise Terminal Development, Kowloon (CEDD Contract No. KL/2009/01)",-1,-1,14/03/2013
